1.3	0.55	-0.6	1.565	0
1.25	0.95	-0.1	0.767	1
0.15	-0.4	-0.5	0.88	1
1.15	0.9	0.0	1.509	1
0.65	0.65	-0.45	0.339	0
1.1	1.1	-0.1	0.891	1
0.0	-1.65	-1.65	0.965	0
0.6	0.5	-0.5	1.229	1
0.15	-0.45	-0.45	1.085	1
0.15	-0.35	-0.85	1.693	0
0.35	0.25	-0.1	0.455	0
0.0	-0.6	-0.7	1.397	1
0.0	-1.75	-2.55	2.601	1
0.45	0.45	-0.05	0.286	0
0.15	0.0	-1.05	1.184	1
0.25	0.05	-0.2	0.533	1
0.2	0.15	-0.25	1.242	0
1.05	0.8	0.0	1.889	1
0.0	-1.7	-1.75	1.622	1
0.05	-0.6	-0.85	0.801	0
0.35	-0.2	-0.7	1.266	0
0.45	0.35	-0.25	1.107	1
0.4	0.4	-0.1	0.353	0
2.25	2.05	0.0	1.98	0
0.0	-0.8	-0.95	0.87	1
0.5	-0.05	-0.5	1.065	1
0.4	-0.95	-1.05	1.856	0
0.0	-0.75	-1.0	1.104	0
0.0	-0.9	-1.3	1.237	1
0.25	-0.35	-0.6	0.863	0
0.0	-0.7	-0.9	1.473	0
0.4	-0.1	-0.15	0.256	0
0.35	-1.2	-1.85	4.088	1
0.95	0.3	-0.2	2.236	0
1.95	1.2	0.0	2.588	1
0.95	0.4	-0.55	3.377	1
0.5	-0.15	-1.1	1.856	0
0.7	0.35	-0.65	3.076	0
0.5	-0.15	-0.45	3.05	0
1.25	-0.1	-0.15	1.816	0
0.5	-0.25	-0.25	0.513	0
0.2	0.1	-0.9	2.58	0
2.34	1.64	0.0	1.785	0
1.0	0.55	-0.25	1.155	1
0.65	0.25	-0.55	1.588	1
0.75	0.7	-0.4	1.574	0
0.2	-0.55	-0.55	1.387	1
0.2	-0.9	-0.95	1.66	1
0.8	0.75	-0.25	1.38	1
0.65	-0.25	-0.25	0.695	0
1.15	1.0	0.0	1.464	0
0.2	-0.8	-0.95	1.003	0
0.8	-0.4	-0.68	1.787	0
0.6	0.1	0.0	1.078	1
1.35	0.35	-0.05	1.701	0
0.2	-1.7	-2.0	2.224	0
0.65	0.05	-0.06	1.188	0
0.61	0.56	-0.04	1.926	1
0.15	0.15	-0.15	0.289	1
0.15	-0.1	-0.45	2.322	1
0.35	-0.05	-0.1	1.62	1
0.15	-0.2	-0.35	1.378	1
0.2	-1.2	-1.3	1.139	1
0.0	-1.9	-3.28	7.117	0
0.2	-0.86	-1.2	3.045	1
0.0	-0.18	-0.96	2.934	1
0.18	-0.44	-0.66	2.896	1
0.2	0.0	-0.04	0.265	0
0.9	0.34	-0.22	2.379	1
0.1	-0.08	-0.54	2.31	1
0.84	0.16	-0.24	2.258	0
0.0	-1.6	-1.62	1.861	0
0.32	-1.94	-2.28	5.112	0
0.56	0.26	-0.64	3.303	0
0.08	-0.44	-1.14	3.575	1
0.06	-1.06	-1.3	3.005	0
0.06	-0.64	-0.66	0.301	0
0.64	-0.9	-1.12	4.953	1
0.88	0.78	-0.66	2.446	1
0.22	-1.26	-1.28	1.595	0
0.1	-0.72	-0.76	1.333	0
0.0	-0.84	-2.3	4.91	1
0.24	-0.58	-1.24	3.161	0
0.16	-0.2	-0.64	2.293	1
0.98	-0.22	-0.24	2.55	1
0.4	0.4	0.0	0.24	1
0.0	-0.54	-1.68	2.649	1
0.64	-0.14	-0.24	2.251	1
0.8	0.8	0.0	1.216	0
0.98	0.86	-0.18	2.611	0
1.98	1.66	0.0	2.632	0
0.12	-1.32	-1.9	2.84	1
0.12	-0.56	-0.96	1.879	1
1.1	0.4	-0.1	1.477	0
0.06	-0.04	-0.28	0.235	1
0.7	0.24	-0.56	3.711	0
0.74	0.44	0.0	1.622	0
0.12	-1.16	-1.22	2.907	1
0.66	0.46	-0.9	1.446	0
