-0.2	0.25	-0.4	1
0.45	0.55	-0.45	1
1.35	1.6	-0.15	0
-1.0	0.0	-1.2	1
0.8	0.8	-0.05	1
1.1	1.3	-0.05	1
2.65	3.85	-0.35	0
-1.75	0.2	-2.25	1
1.25	1.35	-0.25	1
0.35	0.65	-0.1	0
-0.05	0.15	-0.2	0
-0.1	0.1	-0.5	1
1.05	1.05	-0.4	1
0.4	0.4	-0.3	1
0.15	0.3	-1.8	0
-2.2	0.05	-2.25	1
0.6	0.85	-0.35	0
-0.15	0.25	-0.45	1
0.65	1.1	-0.05	1
0.15	0.55	0.0	0
-1.3	0.0	-2.25	1
1.35	1.45	-0.15	1
0.5	0.5	-0.3	0
-1.6	0.1	-2.6	1
0.35	1.65	0.0	1
0.45	0.5	-0.2	0
-0.65	0.3	-0.9	1
0.05	0.25	-0.35	0
-0.75	0.0	-0.75	0
0.0	0.75	-0.4	0
-1.7	0.0	-1.75	1
0.5	0.55	-0.3	0
-1.25	0.1	-1.65	1
0.4	0.6	-1.1	0
-0.15	0.35	-0.25	1
0.1	0.3	-0.05	1
0.3	0.55	0.0	1
0.85	1.25	0.0	0
-0.65	0.15	-1.15	0
-0.45	0.15	-0.65	1
0.45	0.45	-0.05	0
-0.75	0.1	-1.65	1
0.05	0.05	-0.65	1
0.55	0.95	-0.1	1
1.1	1.6	-0.35	0
-0.4	0.25	-0.65	0
-1.1	0.0	-1.15	0
-0.4	0.25	-0.85	1
0.05	1.25	-0.3	1
0.2	0.5	-0.05	0
-0.6	0.6	-0.6	0
-1.05	0.2	-1.05	0
-1.0	0.05	-1.35	0
-0.75	0.0	-0.95	1
0.65	0.65	-0.3	0
-1.0	0.45	-1.05	0
-0.75	0.0	-1.35	1
1.8	2.4	-0.15	1
0.25	0.45	-0.05	1
0.55	1.3	-0.6	0
-0.55	0.2	-0.9	1
0.95	1.25	-0.1	1
0.8	0.9	0.0	0
-0.4	0.15	-0.5	1
1.9	1.9	0.0	1
0.9	1.15	0.0	1
0.1	0.3	-0.7	1
0.65	0.65	-0.45	0
-1.4	0.1	-1.55	1
1.1	1.1	-0.1	1
0.25	0.4	-0.05	0
-1.65	0.0	-1.65	0
-0.2	0.5	-0.4	1
0.5	0.6	-0.5	1
0.25	0.35	-0.95	0
-0.45	0.15	-0.45	1
0.1	0.1	-0.05	0
-0.35	0.15	-0.85	0
-0.05	0.2	-0.95	1
0.25	0.35	-0.1	0
-1.35	0.0	-1.35	0
-0.6	0.0	-0.7	1
4.4	4.75	-0.55	0
-1.75	0.0	-2.55	1
0.6	0.9	-0.3	1
0.45	0.45	-0.05	0
-0.45	0.95	-0.75	0
0.0	0.15	-1.05	1
0.45	0.75	-0.1	1
0.05	0.25	-0.2	1
0.25	0.25	-0.15	1
0.15	0.2	-0.25	0
-1.25	0.1	-1.6	1
0.8	1.05	0.0	1
0.45	0.45	-0.2	0
-1.7	0.0	-1.75	1
0.85	1.5	-0.3	0
-0.6	0.05	-0.85	0
-1.2	0.4	-1.25	0
-0.2	0.35	-0.7	0
-0.1	0.15	-0.55	1
0.35	0.45	-0.25	1
0.25	0.35	-0.2	1
0.4	0.4	-0.1	0
-0.65	0.0	-1.15	1
2.05	2.25	0.0	0
-0.75	0.1	-0.95	0
-0.8	0.0	-0.95	1
0.75	0.8	-0.05	0
-0.05	0.5	-0.5	1
0.25	0.8	-0.35	0
-0.95	0.4	-1.05	0
-0.15	0.3	-0.15	0
-0.75	0.0	-1.0	0
-1.4	0.0	-1.55	0
-0.9	0.0	-1.3	1
0.1	0.6	-0.35	0
-0.35	0.25	-0.6	0
0.0	0.15	-0.25	0
-0.7	0.0	-0.9	0
-0.25	0.2	-0.75	0
-0.1	0.4	-0.15	0
-4.1	0.1	-4.5	0
-1.2	0.35	-1.85	1
2.2	2.45	-0.55	1
0.3	0.95	-0.2	0
-0.25	0.2	-0.9	1
1.2	1.95	0.0	1
0.4	0.65	-0.25	1
0.4	0.95	-0.55	1
0.2	0.2	-0.05	0
-0.15	0.5	-1.1	0
-1.3	0.55	-1.5	1
0.35	0.7	-0.65	0
-0.8	0.35	-1.0	0
-0.15	0.5	-0.45	0
-0.1	0.45	-0.45	0
-0.1	1.25	-0.15	0
-0.75	0.05	-0.85	0
-0.25	0.5	-0.25	0
-1.6	0.1	-1.64	1
0.1	0.2	-0.9	0
-0.51	0.3	-0.65	1
1.64	2.34	0.0	0
-0.35	0.55	-0.35	1
0.55	1.0	-0.25	1
0.2	0.75	0.0	1
0.25	0.65	-0.55	1
0.15	0.15	-0.2	1
0.7	0.75	-0.4	0
-0.65	0.55	-1.15	0
-0.55	0.2	-0.55	1
1.2	1.25	-0.05	0
-0.9	0.2	-0.95	1
0.25	0.7	-0.3	1
0.75	0.8	-0.25	1
1.75	2.15	0.0	0
-0.25	0.65	-0.25	0
-1.7	0.0	-2.4	1
1.0	1.15	0.0	0
-0.85	0.05	-1.05	0
-0.8	0.2	-0.95	0
-0.75	0.0	-0.85	0
